;Aracaju;Belém;Belo Horizonte;Boa Vista;Brasília;Campo Grande;Cuiabá;Curitiba;Florianópolis;Fortaleza;Goiânia;João Pessoa;Macapá;Maceió;Manaus;Natal;Palmas;Porto Alegre;Porto Velho;Recife;Rio Branco;R. Janeiro;Salvador;São Luis;São Paulo;Teresina;Vitória
Aracaju;0;1.641;1.248;3.022;1.292;2.155;2.121;2.061;2.207;815;1.461;486;1.967;201;2.673;604;1.235;2.580;2.946;398;3.359;1.482;277;1.226;1.731;903;1.102
Belém;;0;2.111;1.432;1.592;2.212;1.778;2.665;2.904;1.133;1.693;1.636;329;1.680;1.292;1.550;973;3.188;1.886;1.676;2.333;2.450;1.687;481;2.463;750;2.275
Belo Horizonte;;;0;3.117;624;1.118;1.372;820;973;1.893;666;1.726;2.349;1.439;2.556;1.831;1.178;1.341;2.477;1.639;2.786;339;964;1.932;489;1.652;378
Boa Vista;;;;0;2.496;2.667;2.107;3.370;3.620;2.562;2.503;3.067;1.110;3.089;661;2.983;1.988;3.785;1.335;3.103;1.626;3.428;3.009;1.913;3.300;2.169;3.394
Brasília;;;716;;0;878;873;1.081;1.314;1.687;173;1.716;1.791;1.485;1.932;1.775;620;1.619;1.900;1.657;2.246;933;1.060;1.524;873;1.313;947
Campo Grande;;;1.453;;;0;559;780;1.007;2.547;705;2.593;2.309;2.352;2.013;2.654;1.320;1.119;1.634;2.530;1.827;1.212;1.905;2.284;894;2.132;1.490
Cuiabá;;2.941;;;;694;0;1.302;1.543;2.329;740;2.495;1.822;2.302;1.453;2.524;1.029;1.679;1.137;2.452;1.414;1.575;1.915;1.942;1.326;1.862;1.745
Curitiba;;;;;;991;;0;251;2.670;972;2.545;2.836;2.259;2.734;2.645;1.693;546;2.412;2.459;2.601;675;1.784;2.599;338;2.362;1.076
Florianópolis;;;;;;;;300;0;2.857;1.215;2.693;3.082;2.402;2.981;2.802;1.931;376;2.641;2.603;2.809;748;1.930;2.821;489;2.573;1.160
Fortaleza;;;;;;;;;;0;1.854;555;1.451;730;2.383;435;1.300;3.213;2.855;629;3.300;2.190;1.028;652;2.368;495;1.855
Goiânia;;;906;;209;935;934;;;;0;1.889;1.868;1.656;1.912;1.948;724;1.497;1.813;1.829;2.138;936;1.225;1.662;810;1.467;1.022
João Pessoa;;;;;;;;;;688;;0;1.964;299;2.819;151;1.521;3.066;3.200;104;3.632;1.968;763;1.162;2.216;905;1.581
Macapá;;;;;;;;;;;;;0;2.009;1.054;1.874;1.177;3.341;1.724;2.005;2.159;2.687;2.000;803;2.664;1.079;2.545
Maceió;294;;;;;;;;;;;;;0;2.778;434;1.383;2.775;3.090;202;3.510;1.671;475;1.234;1.928;929;1.282
Manaus;;5.298;;785;;;2.357;;;;;;;;0;2.765;1.509;3.132;761;2.833;1.149;2.849;2.605;1.746;2.689;1.921;2.865
Natal;;;;;;;;;;537;;185;;;;0;1.527;3.172;3.179;253;3.616;2.085;875;1.071;2.320;843;1.706
Palmas;;1.283;;;;;1.784;;;;874;;;;;;0;2.222;1.711;1.498;2.127;1.512;1.114;964;1.493;835;1.413
Porto Alegre;;;;;;;;;476;;;;;;;;;0;2.706;2.977;2.814;1.123;2.303;3.142;852;2.909;1.536
Porto Velho;;;;;;;1.456;;;;;;;;901;;;;0;3.190;449;2.707;2.808;2.274;2.463;2.362;2.835
Recife;;;;;;;;;;800;;120;;285;;;;;;0;3.618;1.874;675;1.209;2.128;934;1.483
Rio Branco;;;;;;;;;;;;;;;1.445;;;;544;;0;2.982;3.206;2.726;2.704;2.806;3.156
R. Janeiro;;;434;;;;;;;;;;;;;;;;;;;0;1.209;2.266;357;1.979;412
Salvador;356;;1.372;;;;;;;;1.643;;;632;;;1.454;;;839;;;0;1.323;1.453;994;839
São Luis;;806;;;;;;;;1.070;;;;;;;1.386;;;;;;;0;2.348;329;2.023
São Paulo;;;586;;;1.014;;408;;;;;;;;;;;;;;429;;;0;2.091;741
Teresina;;;;;;;;;;634;;;;;;;1.401;;;1.137;;;1.163;446;;0;1.713
Vitória;;;524;;;;;;;;;;;;;;;;;;;521;1.202;;;;0
